configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,111,0m3.152s
1,tiff,1,1,0,1,111,0m3.146s
10,png,1,0,1,1,111,0m3.172s
11,png,1,0,0,1,111,0m3.170s
12,png,0,1,0,0,111,0m3.152s
13,png,0,0,0,0,111,0m3.150s
14,png,0,0,0,1,111,0m3.180s
15,png,0,1,1,0,111,0m3.174s
2,tiff,1,0,1,1,111,0m3.166s
3,tiff,1,0,0,1,111,0m3.148s
4,tiff,0,1,0,0,111,0m3.149s
5,tiff,0,0,0,0,111,0m3.178s
6,tiff,0,0,0,1,111,0m3.173s
7,tiff,0,1,1,0,111,0m3.142s
8,png,1,1,1,1,111,0m3.176s
9,png,1,1,0,1,111,0m3.178s
