configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205814,0m1.147s
1,tiff,1,1,0,1,1205575,0m1.165s
10,png,1,0,1,1,1349688,0m2.511s
11,png,1,0,0,1,1349663,0m2.534s
12,png,0,1,0,0,3177546,0m5.017s
13,png,0,0,0,0,3177549,0m5.040s
14,png,0,0,0,1,3177571,0m4.989s
15,png,0,1,1,0,3177571,0m5.036s
2,tiff,1,0,1,1,1205836,0m1.146s
3,tiff,1,0,0,1,1205834,0m1.175s
4,tiff,0,1,0,0,3876315,0m1.368s
5,tiff,0,0,0,0,3875977,0m1.325s
6,tiff,0,0,0,1,3875954,0m1.303s
7,tiff,0,1,1,0,3875924,0m1.387s
8,png,1,1,1,1,1349677,0m2.528s
9,png,1,1,0,1,1349670,0m2.542s
