configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3001844,0m2.672s
1,50%,xz,-3,1,3001844,0m2.673s
10,100%,xz,-9,1,2750272,0m5.598s
11,50%,lzma,-6,16,2749760,0m5.430s
12,75%,xz,-3,32,3001844,0m2.689s
13,50%,lzma,-3,16,3001334,0m2.712s
14,50%,lzma,-6,32,2749760,0m5.470s
15,50%,xz,-6,32,2750228,0m5.440s
16,75%,lzma,-3,16,3001334,0m2.678s
17,75%,lzma,-6,32,2749760,0m5.509s
18,100%,lzma,-6,1,2749760,0m5.461s
19,75%,lzma,-3,1,3001334,0m2.686s
2,75%,xz,-9,16,2750272,0m5.524s
20,75%,lzma,-6,1,2749760,0m5.474s
21,75%,lzma,-6,16,2749760,0m5.447s
22,100%,xz,-9,32,2750272,0m5.553s
23,100%,xz,-9,16,2750272,0m5.551s
24,50%,lzma,-9,32,2749803,0m5.553s
25,50%,lzma,-3,32,3001334,0m2.668s
26,100%,xz,-3,1,3001844,0m2.695s
27,100%,lzma,-9,16,2749803,0m5.519s
28,100%,lzma,-3,1,3001334,0m2.680s
29,50%,lzma,-6,1,2749760,0m5.439s
3,100%,xz,-6,32,2750228,0m5.565s
4,50%,lzma,-3,1,3001334,0m2.653s
5,75%,xz,-3,1,3001844,0m2.697s
6,100%,lzma,-6,16,2749760,0m5.423s
7,75%,xz,-6,32,2750228,0m5.470s
8,50%,xz,-3,32,3001844,0m2.680s
9,75%,xz,-9,32,2750272,0m5.558s
