configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739164,0m1.705s
1,tiff,1,1,0,1,739163,0m1.724s
10,png,1,0,1,1,739164,0m1.720s
11,png,1,0,0,1,739158,0m1.724s
12,png,0,1,0,0,3168073,0m5.454s
13,png,0,0,0,0,3168073,0m5.411s
14,png,0,0,0,1,3168073,0m5.429s
15,png,0,1,1,0,3168071,0m5.450s
2,tiff,1,0,1,1,739162,0m1.717s
3,tiff,1,0,0,1,739164,0m1.696s
4,tiff,0,1,0,0,4807711,0m1.843s
5,tiff,0,0,0,0,4807715,0m1.839s
6,tiff,0,0,0,1,4807640,0m1.816s
7,tiff,0,1,1,0,4807631,0m1.810s
8,png,1,1,1,1,739164,0m1.687s
9,png,1,1,0,1,739164,0m1.699s
