configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213190,0m4.225s
1,tiff,1,1,0,1,2214588,0m4.268s
10,png,1,0,1,1,1753462,0m8.221s
11,png,1,0,0,1,1753348,0m8.287s
12,png,0,1,0,0,1894395,0m8.297s
13,png,0,0,0,0,1894278,0m8.350s
14,png,0,0,0,1,1894605,0m8.313s
15,png,0,1,1,0,1894246,0m8.289s
2,tiff,1,0,1,1,2213090,0m4.194s
3,tiff,1,0,0,1,2214706,0m4.269s
4,tiff,0,1,0,0,2400512,0m4.540s
5,tiff,0,0,0,0,2399733,0m4.296s
6,tiff,0,0,0,1,2401420,0m4.253s
7,tiff,0,1,1,0,2400359,0m4.256s
8,png,1,1,1,1,1753252,0m8.238s
9,png,1,1,0,1,1753428,0m8.203s
