configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3274079,0m5.521s
1,tiff,1,1,0,1,3274022,0m5.471s
10,png,1,0,1,1,3254924,0m8.811s
11,png,1,0,0,1,3254945,0m8.825s
12,png,0,1,0,0,8502346,0m26.152s
13,png,0,0,0,0,8502343,0m26.068s
14,png,0,0,0,1,8502374,0m26.130s
15,png,0,1,1,0,8502365,0m26.068s
2,tiff,1,0,1,1,3274019,0m5.489s
3,tiff,1,0,0,1,3273981,0m5.454s
4,tiff,0,1,0,0,10068821,0m6.211s
5,tiff,0,0,0,0,10068816,0m6.213s
6,tiff,0,0,0,1,10068797,0m6.157s
7,tiff,0,1,1,0,10068900,0m6.195s
8,png,1,1,1,1,3254956,0m8.824s
9,png,1,1,0,1,3254977,0m8.834s
