configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536651,0m1.884s
1,tiff,1,1,0,1,1536661,0m1.949s
10,png,1,0,1,1,1615763,0m3.548s
11,png,1,0,0,1,1615758,0m3.556s
12,png,0,1,0,0,1843146,0m3.695s
13,png,0,0,0,0,1843157,0m3.749s
14,png,0,0,0,1,1843161,0m3.744s
15,png,0,1,1,0,1843163,0m3.715s
2,tiff,1,0,1,1,1536648,0m1.851s
3,tiff,1,0,0,1,1536646,0m1.884s
4,tiff,0,1,0,0,1795023,0m1.900s
5,tiff,0,0,0,0,1795017,0m1.888s
6,tiff,0,0,0,1,1795014,0m1.916s
7,tiff,0,1,1,0,1795102,0m1.863s
8,png,1,1,1,1,1615764,0m3.522s
9,png,1,1,0,1,1615769,0m3.543s
