configurationID,memory,format,level,depth,size,realtime
0,75%,xz,-3,16,3382412,0m4.109s
1,50%,xz,-3,1,3382412,0m4.085s
10,100%,xz,-9,1,2830604,0m8.556s
11,50%,lzma,-6,16,2831189,0m8.407s
12,75%,xz,-3,32,3382412,0m4.071s
13,50%,lzma,-3,16,3381840,0m4.051s
14,50%,lzma,-6,32,2831189,0m8.389s
15,50%,xz,-6,32,2831676,0m8.469s
16,75%,lzma,-3,16,3381840,0m4.078s
17,75%,lzma,-6,32,2831189,0m8.393s
18,100%,lzma,-6,1,2831189,0m8.342s
19,75%,lzma,-3,1,3381840,0m4.094s
2,75%,xz,-9,16,2830604,0m8.536s
20,75%,lzma,-6,1,2831189,0m8.390s
21,75%,lzma,-6,16,2831189,0m8.389s
22,100%,xz,-9,32,2830604,0m8.574s
23,100%,xz,-9,16,2830604,0m8.575s
24,50%,lzma,-9,32,2830116,0m8.586s
25,50%,lzma,-3,32,3381840,0m4.111s
26,100%,xz,-3,1,3382412,0m4.065s
27,100%,lzma,-9,16,2830116,0m8.534s
28,100%,lzma,-3,1,3381840,0m4.069s
29,50%,lzma,-6,1,2831189,0m8.490s
3,100%,xz,-6,32,2831676,0m8.429s
4,50%,lzma,-3,1,3381840,0m4.072s
5,75%,xz,-3,1,3382412,0m4.085s
6,100%,lzma,-6,16,2831189,0m8.403s
7,75%,xz,-6,32,2831676,0m8.392s
8,50%,xz,-3,32,3382412,0m4.049s
9,75%,xz,-9,32,2830604,0m8.554s
