configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1206021,0m1.148s
1,tiff,1,1,0,1,1205849,0m1.148s
10,png,1,0,1,1,1349732,0m2.524s
11,png,1,0,0,1,1349652,0m2.564s
12,png,0,1,0,0,3177555,0m5.026s
13,png,0,0,0,0,3177559,0m5.031s
14,png,0,0,0,1,3177569,0m5.028s
15,png,0,1,1,0,3177565,0m4.963s
2,tiff,1,0,1,1,1205613,0m1.175s
3,tiff,1,0,0,1,1205630,0m1.186s
4,tiff,0,1,0,0,3875943,0m1.309s
5,tiff,0,0,0,0,3876297,0m1.314s
6,tiff,0,0,0,1,3876312,0m1.354s
7,tiff,0,1,1,0,3876295,0m1.315s
8,png,1,1,1,1,1349687,0m2.570s
9,png,1,1,0,1,1349680,0m2.534s
