configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255425,0m8.378s
1,tiff,1,1,0,1,15255219,0m8.320s
10,png,1,0,1,1,15095070,0m24.913s
11,png,1,0,0,1,15095134,0m24.926s
12,png,0,1,0,0,14807414,0m31.678s
13,png,0,0,0,0,14807417,0m31.699s
14,png,0,0,0,1,14807397,0m31.799s
15,png,0,1,1,0,14807424,0m31.661s
2,tiff,1,0,1,1,15255401,0m8.276s
3,tiff,1,0,0,1,15255414,0m8.358s
4,tiff,0,1,0,0,14377577,0m8.755s
5,tiff,0,0,0,0,14377138,0m8.794s
6,tiff,0,0,0,1,14377480,0m8.808s
7,tiff,0,1,1,0,14377483,0m8.837s
8,png,1,1,1,1,15095122,0m24.931s
9,png,1,1,0,1,15095116,0m24.865s
