configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213281,0m4.288s
1,tiff,1,1,0,1,2214510,0m4.187s
10,png,1,0,1,1,1753348,0m8.310s
11,png,1,0,0,1,1753335,0m8.324s
12,png,0,1,0,0,1894326,0m8.284s
13,png,0,0,0,0,1894288,0m8.388s
14,png,0,0,0,1,1894272,0m8.301s
15,png,0,1,1,0,1894348,0m8.286s
2,tiff,1,0,1,1,2213281,0m4.256s
3,tiff,1,0,0,1,2213096,0m4.253s
4,tiff,0,1,0,0,2401169,0m4.259s
5,tiff,0,0,0,0,2401038,0m4.271s
6,tiff,0,0,0,1,2401747,0m4.238s
7,tiff,0,1,1,0,2400688,0m4.255s
8,png,1,1,1,1,1753307,0m8.205s
9,png,1,1,0,1,1753361,0m8.257s
